Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
All employees,XX,15595,25882,0.3,32204,1.0,14009,17000,18366,19756,22606,29575,33976,36565,39916,51666
Managers and senior officials,1,3067,38000,1.3,51210,2.6,19093,24583,26803,29078,33453,43523,50842,55800,62098,84756
   Corporate managers,11,2691,39607,1.4,53445,2.6,20007,25757,28103,30400,34865,45243,53008,57978,64673,88235
    Corporate Managers And Senior Officials,111,90,77915,-6.0,128168,-1.0,29296,42250,50490,56393,66544,90277,110967,127506,148412,x
      Senior officials in national government,1111,x,75580,25.4,81857,23.1,x,x,x,x,66961,x,x,x,x,x
      Directors and chief executives of major organisations,1112,59,99352,-13.2,167473,-4.5,51528,65105,70364,74902,87741,115974,147711,175823,x,x
      Senior officials in local government,1113,16,52037,-6.1,54674,-4.8,x,x,x,x,40573,56585,x,x,x,x
      Senior officials of special interest organisations,1114,11,34905,2.6,42596,5.6,x,26550,27653,29497,33726,39661,x,x,x,x
    Production Managers,112,506,41000,0.0,52026,4.6,21733,27717,30000,32198,36303,46492,53652,57954,63338,82893
"      Production, works and maintenance managers",1121,397,40674,0.8,50940,4.2,20842,27102,29393,31655,35643,46153,53332,57475,63225,84649
      Managers in construction,1122,98,41680,0.4,54539,6.4,23793,29476,31872,34133,37922,46005,52163,56630,60623,x
      Managers in mining and energy,1123,11,54169,-9.6,69545,5.1,x,36868,37847,41923,50255,63596,x,x,x,x
    Functional Managers,113,1038,47132,0.9,63630,2.2,25592,32000,34546,36719,41303,53941,63001,69205,76740,103441
      Financial managers and chartered secretaries,1131,238,56809,-2.2,88536,2.6,25883,34471,37515,41000,48786,67590,82290,90574,100000,x
      Marketing and sales managers,1132,446,45503,1.1,58989,4.6,25000,31314,33650,36000,40188,52116,60499,65978,71753,98124
      Purchasing managers,1133,34,42084,-5.3,53355,-3.7,27467,32412,33301,35190,38732,48902,55890,63600,68377,x
      Advertising and public relations managers,1134,26,40000,5.5,52014,2.7,x,28069,31366,33131,36147,46028,50957,x,x,x
"      Personnel, training and industrial relations managers",1135,91,42187,2.5,51605,-0.8,25820,30854,32409,35380,39098,47016,53824,59249,64237,x
      Information and communication technology managers,1136,165,46267,-0.8,52508,0.3,26247,32531,34573,36542,40625,51313,58624,63068,69282,81952
      Research and development managers,1137,40,47806,3.4,56780,4.7,28047,33402,35482,38481,43331,51175,57843,64666,69499,x
    Quality And Customer Care Managers,114,96,35114,0.9,40409,0.3,21279,25142,26951,29311,32523,38792,43629,45790,49511,x
      Quality assurance managers,1141,31,37595,3.1,43103,8.4,x,30676,32487,33429,34545,40876,44859,48490,x,x
      Customer care managers,1142,66,33571,-0.1,39162,-3.4,20378,23914,25363,26639,30294,37761,42487,45000,48263,x
    Financial Institution And Office Managers,115,391,34000,0.8,41381,1.7,19000,23022,25000,26909,30368,38650,44186,47455,52131,68852
      Financial institution managers,1151,116,41469,-0.3,53345,3.2,23949,29801,31728,33497,36907,46327,53613,59365,64703,x
      Office managers,1152,275,31252,0.4,36342,1.2,17746,21494,23055,24892,28000,35000,40223,43422,46636,59547
"    Managers In Distribution, Storage And Retailing",116,402,26270,1.0,31271,-0.3,15148,18338,19598,21052,23899,29110,32945,35084,37976,47688
      Transport and distribution managers,1161,58,34724,0.7,41006,-4.1,22842,26465,27730,28555,31200,38000,41453,44369,46488,x
      Storage and warehouse managers,1162,88,28219,-1.8,31357,-1.4,17177,20810,22427,23729,26000,31284,33448,35573,37888,x
      Retail and wholesale managers,1163,256,24000,3.3,29042,2.0,14289,16636,17904,19014,21348,26237,29724,32062,34705,45660
    Protective Service Officers,117,45,48769,10.1,49725,7.1,30345,34017,35455,37080,43321,52376,55927,58176,60652,x
      Officers in armed forces,1171,:,,,,,,,,,,,,,,
      Police officers (inspectors and above),1172,17,56769,5.3,58000,2.8,48232,51044,51930,52908,54574,58875,60819,61393,62813,x
"      Senior officers in fire, ambulance, prison and related services",1173,18,40539,4.6,44743,4.5,31069,33237,34494,34971,36884,43979,45445,48825,x,x
      Security managers,1174,10,35296,5.1,44606,10.3,x,26520,27311,28710,31162,39241,x,x,x,x
    Health And Social Services Managers,118,124,37071,5.0,41064,8.4,20822,26093,28293,30072,33336,40508,43547,46207,49356,60654
      Hospital and health service managers,1181,51,42860,2.8,51113,12.9,29131,34063,35200,38783,40671,46750,53660,56094,58982,x
      Pharmacy managers,1182,6,41265,4.5,41948,6.4,x,x,30838,34476,37593,44281,x,x,x,x
      Healthcare practice managers,1183,9,28436,9.1,31749,7.9,x,21115,22830,23896,25259,32592,35349,x,x,x
      Social services managers,1184,16,38643,8.8,38918,1.4,19338,27868,30046,31860,35912,41137,44040,46666,x,x
      Residential and day care managers,1185,42,30037,3.5,31545,1.4,18415,22509,23678,25154,28031,31927,35538,36511,38669,x
   Managers and proprietors in agriculture and services,12,377,28368,-0.5,35242,0.3,15357,18830,20421,21825,25039,32286,36861,39417,43219,55943
"    Managers In Farming, Horticulture, Forestry And Fishing",121,18,28415,-2.4,31104,-2.8,18796,23023,24334,25000,26252,31325,33459,35773,x,x
      Farm managers,1211,12,26500,0.5,30172,-4.4,x,20072,22739,23636,25199,30043,32498,x,x,x
      Natural environment and conservation managers,1212,x,36074,4.5,38812,-4.0,x,x,x,x,x,38723,x,x,x,x
"      Managers in animal husbandry, forestry and fishing n.e.c.",1219,x,26090,2.5,27570,1.9,x,x,x,x,25414,27305,x,x,x,x
    Managers And Proprietors In Hospitality And Leisure Services,122,149,22492,0.6,26131,3.5,13717,16511,17516,18441,20453,25116,28000,29963,32585,x
      Hotel and accommodation managers,1221,17,26006,,31274,3.3,13408,17154,18902,20491,23393,27847,33441,x,x,x
      Conference and exhibition managers,1222,10,28509,1.6,x,,x,20949,21388,23373,25516,32110,33546,x,x,x
      Restaurant and catering managers,1223,67,20645,4.5,23275,7.0,12915,15515,16261,17132,19034,22512,25125,26482,27998,x
      Publicans and managers of licensed premises,1224,21,20645,-0.6,23081,-0.3,13079,15874,16789,17360,19221,23610,26506,27577,29866,x
      Leisure and sports managers,1225,30,25250,3.1,29031,4.7,14808,18274,19518,20471,23235,28191,30258,x,x,x
      Travel agency managers,1226,x,x,,31537,-4.1,x,x,19130,20014,x,x,x,x,x,x
    Managers And Proprietors In Other Service Industries,123,210,33794,2.3,42046,1.4,17760,22188,24103,26516,30003,37914,42987,46360,50129,x
"      Property, housing and land managers",1231,76,35508,4.3,42500,2.4,19301,24618,26872,28705,31930,39451,43725,46575,x,x
      Garage managers and proprietors,1232,8,29379,-0.5,33978,,x,24361,25764,26449,27957,31236,x,x,x,x
      Hairdressing and beauty salon managers and proprietors,1233,x,x,,20528,-19.7,x,x,x,14746,16048,x,x,x,x,x
      Shopkeepers and wholesale/retail dealers,1234,13,27001,7.9,x,,x,14048,15105,17506,20865,32343,x,x,x,x
      Recycling and refuse disposal managers,1235,7,34296,-5.7,37615,-18.6,x,28093,30076,30826,33228,36942,41274,x,x,x
      Managers and proprietors in other services n.e.c.,1239,103,34241,1.1,41850,-4.5,18039,22000,23342,25418,30004,38500,44662,47710,51488,x
Professional occupations,2,2491,36528,0.7,41764,0.9,22572,27287,29084,30715,33853,39848,44053,46811,50105,63279
   Science and technology professionals,21,801,37036,-0.1,40364,-0.4,23500,27800,29517,31050,34063,40272,44992,47341,50057,60477
    Science Professionals,211,80,35785,0.8,40079,-0.6,21702,26458,28175,29843,32499,39583,45132,46729,49134,x
      Chemists,2111,14,32580,-8.4,37511,-12.2,21341,25304,27009,28028,30227,35025,39427,x,x,x
      Biological scientists and biochemists,2112,54,35801,4.5,38992,2.0,21307,26328,28049,29860,32229,39551,44499,46724,48639,x
"      Physicists, geologists and meteorologists",2113,12,40085,-3.6,48039,2.8,x,x,x,x,36551,x,x,x,x,x
    Engineering Professionals,212,373,36221,-0.4,38952,0.1,24119,27930,29491,30944,33872,39004,42976,45374,47827,55425
      Civil engineers,2121,52,35484,-2.8,38558,-3.3,23767,27315,28751,30193,32636,38314,42121,45194,47823,x
      Mechanical engineers,2122,37,39425,3.2,42785,6.5,x,28514,30372,32172,35748,43241,47538,49710,52014,x
      Electrical engineers,2123,24,44350,3.7,45124,3.3,29093,33124,34092,35964,40001,45904,51110,53472,54727,x
      Electronics engineers,2124,7,45095,,44533,-6.7,x,34460,36218,38202,39997,49184,51486,x,x,x
      Chemical engineers,2125,x,x,,44452,10.5,x,x,x,x,x,x,x,x,x,x
      Design and development engineers,2126,65,34799,-1.8,36916,-1.6,24176,27024,28385,29757,31901,37470,40793,42887,46280,x
      Production and process engineers,2127,37,34482,3.2,36689,4.8,21698,25540,27709,30006,32671,37122,39517,42868,44305,x
      Planning and quality control engineers,2128,35,30891,-2.0,35379,-2.7,22299,25281,26665,27722,29051,33720,36790,40016,x,x
      Engineering professionals n.e.c.,2129,114,37004,0.5,39119,-0.6,25019,29388,31242,33161,34699,39101,42390,44585,46875,54722
    Information And Communication Technology Professionals,213,349,38158,-0.2,41939,-1.0,23215,27848,29802,31650,34929,42206,46755,49549,53929,63551
      IT strategy and planning professionals,2131,82,47700,-4.5,50409,-5.8,22956,30775,33755,36012,41385,53583,57995,61500,64253,x
      Software professionals,2132,267,36657,1.4,39331,0.7,23213,27526,29289,30812,33766,39999,43916,46206,48772,59209
   Health professionals,22,170,62611,3.1,74074,3.7,30029,35898,38689,42821,51371,78008,95052,103961,112919,133622
    Health Professionals,221,170,62611,3.1,74074,3.7,30029,35898,38689,42821,51371,78008,95052,103961,112919,133622
      Medical practitioners,2211,123,81698,4.3,85594,1.6,34372,43825,48787,54937,68697,95457,107581,115288,122453,141465
      Psychologists,2212,16,38442,,42169,-1.5,21716,26809,28365,x,32947,44441,50042,x,x,x
      Pharmacists/pharmacologists,2213,18,40115,0.4,42700,3.4,26820,31040,32727,34179,36959,43255,47142,x,x,x
      Ophthalmic opticians,2214,x,40436,,44517,12.3,x,x,x,x,35926,x,x,x,x,x
      Dental practitioners,2215,x,x,,60110,-11.2,x,x,x,x,x,x,x,x,x,x
      Veterinarians,2216,6,35027,4.2,40372,2.8,x,x,30240,30980,32472,36693,x,x,x,x
   Teaching and research professionals,23,972,35554,1.8,36782,0.7,22507,26953,28588,30250,33399,37917,40925,42602,44552,51258
    Teaching Professionals,231,885,35625,1.4,37077,0.9,22500,27072,28884,30620,33505,38291,41360,42871,45023,51648
      Higher education teaching professionals,2311,105,45204,3.3,47900,2.7,29234,34276,37301,39462,42744,47913,51682,53304,55809,x
      Further education teaching professionals,2312,89,33354,2.3,34488,0.9,21228,25670,26935,28374,31301,34922,37361,39530,41988,x
"      Education officers, school inspectors",2313,14,37978,1.7,45978,6.7,20120,24981,28256,29489,33384,41349,46469,48150,x,x
      Secondary education teaching professionals,2314,311,36310,0.3,36821,0.0,23659,27822,29665,31329,34211,39004,41352,42227,43847,49752
      Primary and nursery education teaching professionals,2315,296,34611,2.5,34777,2.6,21911,26519,28068,29906,33133,36327,38759,40116,42136,48259
      Special needs education teaching professionals,2316,25,36604,0.9,36053,0.6,20496,26174,27302,29005,33402,38712,42173,42999,44348,x
      Registrars and senior administrators of educational establishments,2317,19,33506,1.6,38062,0.4,20783,26486,27537,28267,31462,35642,39845,42343,x,x
      Teaching professionals n.e.c.,2319,28,25974,-2.8,27694,-4.8,14094,17894,20091,21550,24000,29643,33502,35267,37525,x
    Research Professionals,232,87,31336,0.1,33797,-1.0,22552,26231,27003,28512,29974,33760,35974,37533,39401,x
      Scientific researchers,2321,28,34457,-1.2,36822,-0.7,25711,28432,x,30473,31765,36565,39642,41025,43701,x
      Social science researchers,2322,x,23479,10.1,26603,12.5,x,x,x,x,21824,x,x,x,x,x
      Researchers n.e.c.,2329,55,30747,0.5,32736,-2.8,22371,25639,26559,27856,29332,33007,34874,35876,37491,x
   Business and public service professionals,24,548,35911,0.9,42629,-0.1,21147,25677,27361,29225,32615,39752,44599,48246,52793,68553
    Legal Professionals,241,94,45402,-3.4,56847,-2.2,22500,28948,32345,36327,40820,52390,62102,70003,77518,x
"      Solicitors and lawyers, judges and coroners",2411,84,47387,-3.0,58346,-2.6,22646,30000,33732,37500,41855,55107,65029,72149,80127,x
      Legal professionals n.e.c.,2419,10,34980,-9.0,43747,-0.1,x,24804,26690,28526,32043,40449,x,x,x,x
    Business And Statistical Professionals,242,178,38822,0.4,46015,-0.1,22348,27281,29169,31224,34792,42927,48449,51767,57242,71848
      Chartered and certified accountants,2421,66,36878,1.5,40381,1.2,20921,26507,28367,30000,33717,40851,45833,47962,51052,x
      Management accountants,2422,10,37605,-4.3,41170,0.5,x,27022,29237,31619,35103,41333,46960,x,x,x
"      Management consultants, actuaries, economists and statisticians",2423,103,40034,-2.2,50095,-2.7,23055,27625,29829,32044,35675,44542,50632,56146,61227,x
"    Architects, Town Planners, Surveyors",243,114,36590,-0.6,40513,-2.1,21604,26000,27801,29966,33284,39797,43291,45439,49341,x
