Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
All employees,XX,17551,12.71,1.1,15.49,1.4,7.07,8.4,9,9.63,11.06,14.64,17.14,18.64,20.52,26.77
Managers and senior officials,1,3531,19.17,0.9,23.42,2.6,9.38,12,13.22,14.37,16.7,21.99,25.79,28.29,31.56,41.97
   Corporate managers,11,3116,20.03,1.4,24.49,2.8,9.95,12.8,14.02,15.16,17.5,23,26.99,29.48,32.89,43.52
    Corporate Managers And Senior Officials,111,102,42.42,5.8,52.03,9.1,15.41,23.26,26.51,30.09,36.87,49.83,59.05,65.71,71.62,93.79
      Senior officials in national government,1111,5,36.91,-2.8,38.6,-14.1,x,x,29.86,32.55,34.67,40.36,x,x,x,x
      Directors and chief executives of major organisations,1112,69,53.02,7.7,63.7,9.0,26.55,35.53,38.9,40.98,46.88,60.73,71.13,74.84,82.08,x
      Senior officials in local government,1113,16,24.67,-6.0,26.91,-1.1,10.9,13.12,14.94,15.68,19.95,27.45,30.13,32.47,x,x
      Senior officials of special interest organisations,1114,11,19.94,6.0,22.84,1.5,12.21,14.28,15.5,16.15,17.44,22,23.82,x,x,x
    Production Managers,112,569,20.23,3.3,23.99,4.3,10.52,13.56,14.8,15.87,17.9,23.28,27.09,29.04,32.39,41.72
"      Production, works and maintenance managers",1121,463,20.46,4.0,24.23,5.7,10.31,13.49,14.74,15.71,17.93,23.63,27.41,29.54,33.25,42.62
      Managers in construction,1122,96,19.21,0.6,22.19,-1.8,11.18,13.6,14.5,16.15,17.49,21.1,24.24,26.55,28.15,x
      Managers in mining and energy,1123,10,27.15,15.3,30.66,1.3,x,18.86,19.69,20.47,23.58,30.64,36.3,x,x,x
    Functional Managers,113,1257,23.63,0.3,28.04,0.4,12.72,15.78,17.17,18.42,20.8,26.99,31.26,33.98,37.3,47.65
      Financial managers and chartered secretaries,1131,281,28.92,1.4,35.68,3.4,14.33,18.9,20.6,22.15,25.44,34.2,40.18,43.62,48.06,63.9
      Marketing and sales managers,1132,596,21.77,-1.8,25.65,-1.5,11.5,14.61,15.87,17.09,19.25,24.84,28.94,31.47,34.78,43.71
      Purchasing managers,1133,38,22.14,2.5,25.6,1.3,13.14,16.23,17.08,17.75,19.94,24.87,28.18,30.28,33.83,x
      Advertising and public relations managers,1134,30,20.49,-3.0,25.04,-8.7,11.78,14.44,15.7,16.58,18.18,22.98,26.45,28.57,x,x
"      Personnel, training and industrial relations managers",1135,101,22.26,1.6,25.93,1.5,13.24,15.76,16.87,18.06,20.2,24.94,28.07,30.27,32.59,43.72
