Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
All employees,XX,17376,31285,-0.6,38131,-1.1,18269,21398,22897,24488,27743,35505,40698,43704,47479,60904
"Managers, directors and senior officials",1,2256,43692,-3.7,58303,-5.2,22424,27749,30000,32640,38098,50840,60210,66845,75005,100730
  Corporate managers and directors,11,1891,47021,-4.2,61965,-4.9,23488,29580,32216,35000,40756,54959,64996,72157,80240,107209
    Chief executives and senior officials,111,85,87937,5.5,126556,7.7,40916,52025,55212,60547,72511,100000,116056,x,x,x
      Chief executives and senior officials,1115,81,90000,5.3,130734,7.6,44779,53613,59323,63528,76541,103144,117622,x,x,x
      Elected officers and representatives,1116,x,x,,30985,-30.7,x,x,x,x,x,x,x,x,x,x
    Production managers and directors,112,494,47659,-1.6,59820,-1.2,24611,32313,35103,37916,42426,54105,63148,68925,75699,99972
      Production managers and directors in manufacturing,1121,392,48260,-1.2,61521,0.1,24278,31917,35000,37925,42542,56263,65041,72075,79479,103324
      Production managers and directors in construction,1122,95,45977,-3.8,53143,-4.9,25749,33020,35711,37891,41958,50061,54975,60945,65693,x
      Production managers and directors in mining and energy,1123,x,45000,-1.5,54827,,x,x,x,33269,44345,49219,x,x,x,x
    Functional managers and directors,113,710,59557,-4.1,73290,-8.6,30015,38001,41451,45000,51961,69380,80170,86999,95722,122040
      Financial managers and directors,1131,269,64384,-3.9,77669,-9.0,30000,38548,42778,46279,54979,74336,87385,94837,104610,139032
      Marketing and sales directors,1132,155,75631,-5.5,85899,-6.6,35781,45088,50000,53621,64373,85973,99793,106159,115000,x
      Purchasing managers and directors,1133,65,47092,-2.3,50517,-8.3,28697,32070,35362,39070,43304,52204,57031,59711,64630,x
      Advertising and public relations directors,1134,12,64641,,x,,x,49871,51331,52906,57992,70891,x,x,x,x
      Human resource managers and directors,1135,109,47923,-2.9,52667,-7.9,29242,34349,36543,38047,43365,52983,58885,61964,66659,x
      Information technology and telecommunications directors,1136,44,63810,-12.6,80624,-2.3,x,x,47860,51382,58295,73997,x,x,x,x
      Functional managers and directors n.e.c.,1139,55,53919,-4.7,65247,-9.4,27437,33999,36884,40044,47331,63324,70917,76111,81389,x
    Financial institution managers and directors,115,72,45351,-16.3,67915,-16.8,x,x,33865,35718,41223,52510,x,x,x,x
      Financial institution managers and directors,1150,72,45351,-16.3,67915,-16.8,x,x,33865,35718,41223,52510,x,x,x,x
    Managers and directors in transport and logistics,116,169,33320,-2.9,37587,-2.4,21781,24964,26698,27938,30717,36179,40347,42738,46993,58868
      Managers and directors in transport and distribution,1161,63,38783,-3.2,43483,-4.7,23256,27958,30547,32309,35000,43188,50059,52330,56008,x
      Managers and directors in storage and warehousing,1162,106,31025,0.5,34068,0.9,21062,23465,25140,26581,28918,33412,36332,38632,40698,x
    Senior officers in protective services,117,16,56349,4.8,57670,3.8,x,44580,49031,53372,54897,58541,60568,61942,x,x
      Officers in armed forces,1171,:,,,,,,,,,,,,,,
      Senior police officers,1172,11,58734,5.8,62457,6.0,x,54692,55429,55786,57077,60464,62153,x,x,x
"      Senior officers in fire, ambulance, prison and related services",1173,x,44642,0.4,47241,-3.1,x,x,x,x,x,47663,x,x,x,x
    Health and social services managers and directors,118,49,48594,-0.1,51388,-1.1,27863,34277,35737,38839,44747,51832,57292,60752,64510,x
      Health services and public health managers and directors,1181,36,51599,0.6,54742,-1.8,29719,37694,41285,44641,48501,54795,60037,62019,x,x
      Social services managers and directors,1184,12,37546,-5.8,41504,-1.1,x,29959,31468,33000,34966,41687,44863,x,x,x
    Managers and directors in retail and wholesale,119,298,28824,-5.0,34565,-5.9,18450,21152,22392,23907,26453,31771,35712,38625,41426,54429
      Managers and directors in retail and wholesale,1190,298,28824,-5.0,34565,-5.9,18450,21152,22392,23907,26453,31771,35712,38625,41426,54429
  Other managers and proprietors,12,365,31763,-4.2,39331,-5.4,19563,22906,24679,26030,29104,36000,40901,42991,45859,56845
    Managers and proprietors in agriculture related services,121,18,32724,4.3,35542,3.4,x,25789,26624,27976,30260,34575,39276,x,x,x
      Managers and proprietors in agriculture and horticulture,1211,13,33376,2.7,36449,2.7,x,26191,27969,30041,32047,37355,39646,x,x,x
