Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
All employees,XX,23901,25990,,31437,,8788,14163,16733,18722,22210,30265,35567,38890,42522,54657
"Managers, directors and senior officials",1,2611,40036,,53387,,16884,23437,26237,28866,34000,46904,56253,62032,70462,96381
 Corporate managers and directors,11,2063,44234,,58444,,16975,24771,28193,30850,37500,52095,62005,69510,77523,105000
  Chief Executives and Senior Officials,111,116,69794,,107698,,15845,31804,40000,45127,55448,84921,100200,114201,x,x
   Chief executives and senior officials,1111,106,74273,,116020,,24795,41158,46929,52006,61523,90000,105997,117439,x,x
   Elected officers and representatives,1112,10,x,,17711,,x,x,x,x,x,x,x,x,x,x
  Production Managers and Directors,112,533,41528,,49223,,12361,23590,27141,30000,36000,47252,54482,59968,66381,85737
   Production managers and directors in manufacturing,1121,429,40962,,49729,,11823,22224,25974,29506,35442,47126,55147,60456,68540,88061
   Production managers and directors in construction,1122,97,42599,,46449,,16942,26661,30000,33266,37967,47410,52159,55708,61440,x
   Production managers and directors in mining and energy,1123,x,45012,,57219,,x,x,x,34788,44630,x,x,x,x,x
  Functional Managers and Directors,113,956,53372,,67721,,21988,31114,35108,38774,45765,62413,74685,81498,89958,117925
   Financial managers and directors,1131,404,54986,,71021,,21911,30508,34833,38215,45823,65000,76783,85422,94799,126760
"   Marketing, sales and advertising directors",1132,207,69536,,84513,,25348,39229,43790,49553,58431,80909,93885,101660,111345,x
   Public relations and communications directors,1133,x,53576,,60385,,x,x,x,46147,51423,61304,x,x,x,x
   Purchasing managers and directors,1134,63,46517,,49249,,27316,31234,32751,35731,41538,51304,56535,57725,63018,x
   Charitable organisation managers and directors,1135,x,x,,36123,,x,x,x,x,x,x,x,x,x,x
   Human resource managers and directors,1136,139,43847,,48832,,25200,30677,33605,35406,38892,48392,55304,58754,62061,76302
   Information technology directors,1137,66,52800,,63080,,9480,x,x,x,x,60144,73810,79056,x,x
   Functional managers and directors n.e.c.,1139,63,53183,,60405,,x,28593,34844,38945,45881,64929,72920,79596,85619,x
"  Directors in Logistics, Warehousing and Transport",114,x,x,,60615,,x,x,x,x,x,x,x,x,x,x
"   Directors in logistics, warehousing and transport",1140,x,x,,60615,,x,x,x,x,x,x,x,x,x,x
  Managers and Directors in Retail and Wholesale,115,384,28430,,35080,,15002,19703,21045,22377,25447,31588,36003,39441,42364,57281
   Managers and directors in retail and wholesale,1150,384,28430,,35080,,15002,19703,21045,22377,25447,31588,36003,39441,42364,57281
  Senior Officers in Protective Services,116,13,56970,,57973,,x,45698,49085,53449,55675,58780,61280,x,x,x
   Officers in armed forces,1161,:,,,,,,,,,,,,,,
   Senior police officers,1162,9,58872,,62755,,x,x,55779,56291,57161,60874,x,x,x,x
"   Senior officers in fire, ambulance, prison and related services",1163,x,46222,,46921,,x,x,x,x,x,x,x,x,x,x
  Health and Social Services Managers and Directors,117,54,42119,,45262,,20541,27576,29484,31471,37425,47704,52538,55549,59602,x
   Health services and public health managers and directors,1171,42,45056,,47198,,19515,27678,30061,32243,39656,49327,54786,57218,60751,x
   Social services managers and directors,1172,12,34591,,38578,,x,26158,27668,29341,32853,37551,x,x,x,x
 Other managers and proprietors,12,549,30400,,34373,,16800,20908,22502,24048,27407,34107,39062,41667,44208,54474
  Managers and Proprietors in Agriculture Related Services,121,21,31176,,32700,,x,23675,24887,25936,28693,33227,37961,40124,x,x
   Managers and proprietors in agriculture and horticulture,1211,16,32954,,34214,,x,24745,25802,27814,30760,35474,38848,x,x,x
"   Managers and proprietors in forestry, fishing and related services",1212,x,26757,,28723,,x,x,x,x,25321,27786,x,x,x,x
  Managers and Proprietors in Hospitality and Leisure Services,122,110,23761,,26597,,12340,17570,19029,19887,21942,26662,29631,31669,33625,x
   Hotel and accommodation managers and proprietors,1221,14,24545,,32478,,x,18248,19210,19774,21963,27483,x,x,x,x
   Restaurant and catering establishment managers and proprietors,1222,46,22304,,22472,,10450,14011,16402,18087,19810,23353,26709,27715,29493,x
   Publicans and managers of licensed premises,1223,23,24061,,27108,,x,19234,20312,21019,22763,27412,29588,33453,x,x
   Leisure and sports managers,1224,25,27065,,30090,,17038,19519,20457,21576,24623,30736,33421,37403,x,x
   Travel agency managers and proprietors,1225,x,x,,31214,,x,x,x,x,x,x,x,x,x,x
  Managers and Proprietors in Health and Care Services,123,81,33626,,35219,,x,24308,26030,27203,30000,38447,41978,43050,45602,x
   Health care practice managers,1231,23,31538,,34816,,17019,21077,24124,26585,28690,39593,42746,43450,x,x
"   Residential, day and domiciliary care managers and proprietors",1232,57,35383,,35649,,x,x,26263,27976,31412,38486,41966,42869,x,x
   Early education and childcare services proprietors,1233,x,x,,20445,,x,x,x,x,x,x,x,x,x,x
"  Managers in Logistics, Warehousing and Transport",124,172,32743,,36050,,19356,23140,25124,26805,29635,35782,39973,42000,45057,56651
   Managers in transport and distribution,1241,62,37739,,41086,,22264,27077,28515,30366,33757,41284,47472,50052,53788,x
   Managers in storage and warehousing,1242,92,29429,,31354,,18085,21464,22472,23669,26778,32025,35003,36201,38658,x
   Managers in logistics,1243,18,37262,,42632,,x,27609,28900,31080,34720,42064,45980,x,x,x
  Managers and Proprietors in Other Services,125,164,30810,,37623,,15649,20508,22148,24000,27953,36499,42060,45035,48855,x
"   Property, housing and estate managers",1251,91,34106,,38641,,17605,22238,25216,27052,30000,38300,43069,45483,50437,x
   Garage managers and proprietors,1252,x,30932,,37706,,x,x,x,x,x,39491,x,x,x,x
   Hairdressing and beauty salon managers and proprietors,1253,x,x,,20071,,x,x,x,x,x,x,x,x,x,x
   Waste disposal and environmental services managers,1254,9,35537,,x,,x,x,x,27242,30093,41695,x,x,x,x
   Managers and directors in the creative industries,1255,9,x,,48438,,x,x,x,23834,x,x,x,x,x,x
   Betting shop and gambling establishment managers,1256,x,18634,,18783,,x,x,x,x,x,x,x,x,x,x
   Hire services managers and proprietors,1257,x,x,,34872,,x,x,x,x,x,x,x,x,x,x
   Directors in consultancy services,1258,x,x,,x,,x,x,x,x,x,x,x,x,x,x
   Managers and proprietors in other services n.e.c.,1259,31,27298,,34906,,16286,18442,19163,21069,22794,30697,38900,x,x,x
Professional occupations,2,6295,37757,,41453,,18574,25000,27489,29749,33721,41520,46008,48992,52353,64775
" Science, research, engineering and technology professionals",21,1472,41552,,45845,,23960,29636,31716,33989,37904,46000,50892,53860,57505,69107
  Natural and Social Science Professionals,211,109,37438,,41100,,22504,27683,29061,31265,34525,39903,42905,44759,47054,x
   Chemical scientists,2111,x,x,,x,,x,27418,27957,x,x,x,x,x,x,x
   Biological scientists,2112,15,37118,,38442,,x,24967,27037,28817,31326,39415,43075,x,x,x
   Biochemists and biomedical scientists,2113,34,37626,,41234,,23036,27123,28160,30715,34476,40265,43642,45998,48424,x
   Physical scientists,2114,x,39524,,39221,,x,x,32208,33651,37840,42712,x,x,x,x
   Social and humanities scientists,2115,11,32281,,33180,,x,24464,27109,28007,31083,34226,x,x,x,x
   Natural and social science professionals n.e.c.,2119,26,38719,,41233,,26802,31045,32912,34563,36349,42243,43646,46202,x,x
  Engineering Professionals,212,390,42020,,44394,,25136,30500,32369,35106,38560,45343,49964,51856,54386,62558
   Civil engineers,2121,61,41582,,48435,,26646,30043,31612,33553,38376,44407,48868,52479,53808,x
   Mechanical engineers,2122,x,40412,,42925,,25518,32242,34965,36336,38938,43786,x,x,x,x
