Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
All employees,XX,27111,14.12,,17.97,,9.04,9.95,10.38,10.96,12.37,16.33,19.32,20.95,23,29.54
"Managers, directors and senior officials",1,2820,20.9,,26.48,,10.63,12.96,14.27,15.38,18.09,24.5,29.16,32.12,36.38,47.91
 Corporate managers and directors,11,2210,23.46,,29.16,,11.42,14.37,15.7,17.25,20.12,27.48,32.34,35.97,39.66,51.61
  Chief Executives and Senior Officials,111,119,38.33,,49.22,,14.62,20.27,23.88,26.36,31.46,44.48,51.79,56.75,62.19,x
   Chief executives and senior officials,1111,109,40.41,,51.73,,18.63,24.55,26.52,29.33,34.72,46.87,53.29,60.18,65.47,x
   Elected officers and representatives,1112,10,13.61,,14.06,,x,9.84,10.63,11.23,11.83,14.1,x,x,x,x
  Production Managers and Directors,112,574,21.15,,25.47,,11.15,14.37,15.57,16.84,18.94,24.24,27.68,30.05,33.16,42.06
   Production managers and directors in manufacturing,1121,458,21.34,,26.24,,11,14.37,15.54,16.75,19.06,24.72,28.48,31.18,35.21,44.95
   Production managers and directors in construction,1122,110,20.29,,22.41,,11.51,14.42,15.78,17.13,18.5,22.96,25.89,27.52,29.15,x
   Production managers and directors in mining and energy,1123,x,22.96,,26.96,,x,x,16.45,17.57,18.95,24.72,x,x,x,x
  Functional Managers and Directors,113,1033,28.67,,34.11,,14.65,18.4,19.96,21.55,24.89,32.9,38.33,41.36,45.19,56.95
   Financial managers and directors,1131,433,29.24,,35.82,,13.9,17.89,19.43,21.46,25,33.93,40,43.43,47.9,62.28
"   Marketing, sales and advertising directors",1132,223,35.76,,38.98,,16.77,21.31,23.96,25.96,30.82,40.66,46.21,49.46,53.29,62.12
   Public relations and communications directors,1133,10,29.28,,32.72,,x,22.86,23.96,24.18,26.52,35.02,x,x,x,x
   Purchasing managers and directors,1134,66,23.77,,25.81,,14.81,17.25,18.15,19.51,22.05,26.59,29.22,30.92,33.32,x
   Charitable organisation managers and directors,1135,x,20.09,,21.73,,x,x,14.78,15.19,17.86,22,23.29,x,x,x
   Human resource managers and directors,1136,151,23.83,,26.06,,15.3,17.32,19.03,19.87,21.74,26.53,29.55,31.24,33.12,39.39
   Information technology directors,1137,72,29.42,,36.69,,14.62,18.78,20,21.2,26.17,32.89,39.22,42.55,46,x
   Functional managers and directors n.e.c.,1139,71,28.03,,32.49,,13.75,18.36,19.48,21.04,24.59,32.58,37.44,39.69,41.83,x
"  Directors in Logistics, Warehousing and Transport",114,8,x,,31.12,,x,x,x,x,x,x,x,x,x,x
"   Directors in logistics, warehousing and transport",1140,8,x,,31.12,,x,x,x,x,x,x,x,x,x,x
  Managers and Directors in Retail and Wholesale,115,400,14.05,,17.68,,9.42,10.46,11,11.65,12.58,15.45,17.74,19.43,21.62,29.32
   Managers and directors in retail and wholesale,1150,400,14.05,,17.68,,9.42,10.46,11,11.65,12.58,15.45,17.74,19.43,21.62,29.32
  Senior Officers in Protective Services,116,14,28.05,,28.85,,x,21.97,23.13,25.17,26.99,29.05,30.19,31.25,x,x
   Officers in armed forces,1161,:,,,,,,,,,,,,,,
   Senior police officers,1162,10,29.04,,31.71,,x,26.98,27.35,27.52,28.21,29.6,31.06,x,x,x
"   Senior officers in fire, ambulance, prison and related services",1163,x,21.08,,22.38,,x,x,x,x,x,x,x,x,x,x
  Health and Social Services Managers and Directors,117,62,23.39,,24.92,,12.77,16.25,17.77,18.59,20.64,25.94,28.18,29.69,31.7,x
   Health services and public health managers and directors,1171,49,24.75,,25.89,,13.48,16.57,18.13,19.5,22.75,26.56,29.19,30.71,32.3,x
   Social services managers and directors,1172,13,19.46,,21.18,,x,15.12,15.88,17,18.45,21.04,22.43,x,x,x
 Other managers and proprietors,12,609,15.04,,17.26,,9.71,11,11.59,12.2,13.44,16.79,18.99,20.12,21.88,26.41
  Managers and Proprietors in Agriculture Related Services,121,25,14.1,,15.37,,10.04,11.24,11.53,12.25,13.01,14.8,17.03,18.29,19.42,x
   Managers and proprietors in agriculture and horticulture,1211,17,14.4,,15.81,,x,11.27,12.25,12.48,13.4,15.53,18.24,19.19,x,x
"   Managers and proprietors in forestry, fishing and related services",1212,7,12.88,,14.23,,x,x,x,11.39,11.8,13.52,x,x,x,x
  Managers and Proprietors in Hospitality and Leisure Services,122,123,11.54,,13.26,,8.49,9.41,9.77,10.09,10.73,12.31,13.67,14.42,15.62,x
   Hotel and accommodation managers and proprietors,1221,16,11.95,,16.55,,x,9.98,10.09,10.2,11.04,13.75,16.4,x,x,x
   Restaurant and catering establishment managers and proprietors,1222,55,10.94,,11.66,,8.54,9.06,9.4,10,10.5,11.58,12.09,12.62,13.4,x
   Publicans and managers of licensed premises,1223,24,10.73,,11.93,,7.42,8.31,8.55,9.43,9.91,11.67,12.71,13.23,x,x
   Leisure and sports managers,1224,26,14.21,,15.81,,9.54,10.51,11.42,11.94,12.75,15.31,17.16,18.45,x,x
   Travel agency managers and proprietors,1225,x,x,,16.08,,x,x,x,x,x,x,x,x,x,x
  Managers and Proprietors in Health and Care Services,123,90,17.15,,18.41,,11.28,12.97,13.74,14.45,15.92,19.05,21.21,22.02,23.06,x
   Health care practice managers,1231,26,17.74,,19.91,,12.33,13.57,14.4,15.48,16.64,19.98,22.39,23.79,x,x
"   Residential, day and domiciliary care managers and proprietors",1232,64,17.01,,17.91,,11.21,12.81,13.41,14.34,15.53,18.59,20.78,21.63,22.63,x
   Early education and childcare services proprietors,1233,x,13.58,,14.53,,x,x,x,x,x,x,x,x,x,x
"  Managers in Logistics, Warehousing and Transport",124,187,15.65,,17.41,,10.25,11.75,12.28,12.78,14.07,17.26,19.15,20.12,21.42,27.08
   Managers in transport and distribution,1241,67,17.88,,19.54,,11.41,12.89,13.87,14.61,16.27,19.29,21.42,22.83,24.41,x
   Managers in storage and warehousing,1242,100,13.66,,15.35,,9.96,10.84,11.4,11.88,12.65,15.19,16.91,17.7,18.88,x
   Managers in logistics,1243,20,18.77,,20.47,,12.51,14.01,14.58,14.94,16.51,20.65,22.93,24.09,x,x
  Managers and Proprietors in Other Services,125,184,16.35,,19.61,,9.99,11.5,12.2,12.9,14.52,18.69,21.1,22.74,24.25,32.17
"   Property, housing and estate managers",1251,102,17.53,,20.1,,11.2,12.51,13.27,14.29,15.64,19.55,21.73,22.99,24.62,x
   Garage managers and proprietors,1252,9,14.4,,18,,x,11.46,11.69,12.05,13.04,16.54,x,x,x,x
   Hairdressing and beauty salon managers and proprietors,1253,x,11.27,,12.12,,x,x,x,9.25,10,11.46,x,x,x,x
   Waste disposal and environmental services managers,1254,10,18.7,,20.54,,x,11.68,12.79,14.03,16.5,20.95,21.97,x,x,x
   Managers and directors in the creative industries,1255,11,x,,25.96,,x,10.73,12.85,13.84,14.86,x,x,x,x,x
   Betting shop and gambling establishment managers,1256,x,9.78,,10.03,,x,x,x,x,x,x,x,x,x,x
   Hire services managers and proprietors,1257,8,13.47,,15.94,,x,x,11.39,11.53,12.73,14.08,x,x,x,x
   Directors in consultancy services,1258,x,x,,25.71,,x,x,x,x,x,x,x,x,x,x
   Managers and proprietors in other services n.e.c.,1259,33,15.37,,18.68,,9.57,10.17,11.01,11.62,13.34,17.29,19.86,22.64,x,x
Professional occupations,2,7175,21.76,,23.64,,13.37,16.04,16.98,18.02,19.86,23.66,26.02,27.37,29.22,35.55
" Science, research, engineering and technology professionals",21,1671,21.63,,23.33,,13.13,15.66,16.75,17.83,19.73,23.82,26.34,27.78,29.6,34.75
  Natural and Social Science Professionals,211,125,19.49,,20.6,,12.75,14.6,15.49,16.27,18.36,20.99,22.75,23.52,24.73,28.97
   Chemical scientists,2111,16,17.7,,19.17,,x,13.49,14.06,14.62,15.63,19,20.77,x,x,x
   Biological scientists,2112,17,18.94,,20.54,,x,12.43,13.72,14.61,17.3,20.78,23.38,x,x,x
   Biochemists and biomedical scientists,2113,39,19.92,,20.97,,12.77,14.31,15.55,16.18,18.94,22.04,23.08,23.99,24.53,x
   Physical scientists,2114,12,21.84,,21.97,,x,15.26,16.2,17.89,19.56,22.99,25.39,x,x,x
