Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
All employees,XX,22480,29669,6.8,35404,5.8,10186,16815,19783,21970,25802,34303,40000,43157,47248,60506
"Managers, directors and senior officials",1,2583,45348,7.5,61405,6.1,19501,26998,29891,32640,38795,52955,63503,71089,80012,107369
 Corporate managers and directors,11,2053,50160,9.0,67150,7.0,19859,28252,31599,35301,42588,59354,71353,78505,88675,116249
  Chief Executives and Senior Officials,111,107,76402,14.0,107830,3.0,x,x,x,x,62857,89801,x,x,x,x
   Chief executives and senior officials,1111,99,80256,10.9,113577,3.0,x,x,x,x,65789,92691,x,x,x,x
   Elected officers and representatives,1112,x,x,,x,,x,x,x,x,x,x,x,x,x,x
  Production Managers and Directors,112,653,47119,10.4,55978,7.9,x,25246,29927,33300,40910,53203,62248,68078,75231,96654
   Production managers and directors in manufacturing,1121,549,46357,11.3,56329,8.4,12000,24080,28086,31933,40000,52959,62802,69163,76393,99218
   Production managers and directors in construction,1122,94,49596,6.0,52218,5.4,x,x,x,39538,45144,53616,60047,x,x,x
   Production managers and directors in mining and energy,1123,10,50595,10.2,71435,,x,39461,40610,43598,46382,x,x,x,x,x
  Functional Managers and Directors,113,916,61408,6.8,81040,4.5,25921,36237,40607,44675,52710,72759,86964,94605,102992,136699
   Financial managers and directors,1131,387,63637,8.3,90176,7.4,22513,34239,38644,43241,52962,76905,93290,101861,115000,157959
"   Marketing, sales and advertising directors",1132,202,78599,6.0,87050,-3.6,x,44163,50000,54637,65634,90027,101722,110106,118716,x
   Public relations and communications directors,1133,12,77351,17.4,x,,x,53793,58334,62294,68761,83286,x,x,x,x
   Purchasing managers and directors,1134,54,50000,2.3,54793,2.8,28505,x,x,39524,45687,55544,x,x,x,x
   Charitable organisation managers and directors,1135,x,x,,39874,4.6,x,x,x,x,x,x,x,x,x,x
   Human resource managers and directors,1136,140,47724,7.7,54314,7.7,26345,x,35810,38962,43077,52812,59466,62560,67417,x
   Information technology directors,1137,41,78091,13.3,91810,11.2,41477,54669,58115,60503,67484,89208,97078,101018,x,x
   Functional managers and directors n.e.c.,1139,75,62772,9.4,73396,3.9,x,x,x,x,53829,72383,80375,x,x,x
"  Directors in Logistics, Warehousing and Transport",114,10,71271,,x,,x,x,x,x,61954,x,x,x,x,x
"   Directors in logistics, warehousing and transport",1140,10,71271,,x,,x,x,x,x,61954,x,x,x,x,x
  Managers and Directors in Retail and Wholesale,115,341,31492,5.0,38665,4.7,18010,22857,24377,25847,28567,35151,40626,44000,48285,x
   Managers and directors in retail and wholesale,1150,341,31492,5.0,38665,4.7,18010,22857,24377,25847,28567,35151,40626,44000,48285,x
  Senior Officers in Protective Services,116,11,59881,5.0,63042,9.8,x,50594,54985,55736,58637,62086,x,x,x,x
   Officers in armed forces,1161,:,,,,,,,,,,,,,,
   Senior police officers,1162,x,59053,0.3,62342,-2.4,x,x,x,56178,58293,61635,x,x,x,x
"   Senior officers in fire, ambulance, prison and related services",1163,x,x,,64238,,x,x,x,x,x,x,x,x,x,x
  Health and Social Services Managers and Directors,117,15,41552,-10.0,46199,-3.6,x,27654,31333,33540,39388,46346,51672,x,x,x
   Health services and public health managers and directors,1171,x,x,,67980,36.9,x,x,x,x,x,x,x,x,x,x
   Social services managers and directors,1172,12,39405,3.6,40809,1.4,x,26477,27676,31225,34158,41218,x,x,x,x
 Other managers and proprietors,12,530,34395,5.2,39170,2.9,18865,24586,26315,28053,30968,38279,42387,44936,48186,58026
  Managers and Proprietors in Agriculture Related Services,121,26,31595,-3.4,32853,-1.2,x,21515,23235,26187,28292,34985,39118,40504,x,x
   Managers and proprietors in agriculture and horticulture,1211,19,33241,-0.2,33492,-0.1,x,20585,23366,26162,29208,36130,39558,x,x,x
"   Managers and proprietors in forestry, fishing and related services",1212,x,27948,,31132,-3.9,x,x,x,25206,26720,31611,x,x,x,x
  Managers and Proprietors in Hospitality and Leisure Services,122,90,30000,11.3,32599,3.4,x,x,22859,24706,27556,33076,36117,37455,x,x
   Hotel and accommodation managers and proprietors,1221,14,31548,11.8,x,,x,23698,25265,26220,27945,32932,x,x,x,x
   Restaurant and catering establishment managers and proprietors,1222,34,28338,11.7,27886,8.0,11856,17843,20333,22879,25257,30809,34087,35543,36395,x
   Publicans and managers of licensed premises,1223,x,x,,x,,x,x,x,x,x,x,x,x,x,x
   Leisure and sports managers,1224,26,30170,8.3,32487,0.5,x,20593,21977,25245,27349,34555,37058,38925,x,x
   Travel agency managers and proprietors,1225,x,x,,30974,13.0,x,x,x,x,x,x,x,x,x,x
  Managers and Proprietors in Health and Care Services,123,x,x,,45289,4.1,x,x,x,x,x,x,x,x,x,x
   Health care practice managers,1231,18,38858,2.9,x,,x,28087,29536,30850,33798,43846,50428,x,x,x
"   Residential, day and domiciliary care managers and proprietors",1232,x,x,,41627,5.2,x,x,x,x,x,x,x,x,x,x
   Early education and childcare services proprietors,1233,..,,,,,,,,,,,,,,
"  Managers in Logistics, Warehousing and Transport",124,179,34725,-0.3,38340,2.6,22180,25943,28077,29425,31779,38328,41980,44785,47521,x
