Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
All employees,XX,27283,15.88,7.4,20.05,6.9,10.7,11.54,12.02,12.65,14.09,18.2,21.27,23.11,25.33,32.42
"Managers, directors and senior officials",1,2921,23.87,7.9,29.72,6.3,12.51,14.91,16.11,17.47,20.44,27.49,32.77,36.42,40.81,53.08
 Corporate managers and directors,11,2312,26.52,7.9,32.57,7.2,13.2,16.32,17.99,19.68,23.19,30.83,36.77,40.39,44.63,56.71
  Chief Executives and Senior Officials,111,119,40.86,8.9,48.65,2.8,18.01,24.06,26.88,28.75,35.35,45.94,52.47,56.09,59.61,x
   Chief executives and senior officials,1111,110,41.98,7.7,50.05,2.8,19.72,26.18,28.29,31.36,37.07,46.66,53.67,56.99,60.9,x
   Elected officers and representatives,1112,8,x,,24.87,32.1,x,10.9,11.65,11.86,13.4,x,x,x,x,x
  Production Managers and Directors,112,730,24.79,12.7,29.42,10.5,13.05,16.43,18,19.24,21.83,27.38,31.69,34.78,38.42,49.27
   Production managers and directors in manufacturing,1121,608,24.95,13.9,30.24,12.0,12.84,16.2,17.89,19.18,21.91,27.92,32.9,36.12,40.07,50.92
   Production managers and directors in construction,1122,111,23.68,5.3,25.12,3.6,14.05,16.76,18.33,19.32,21.01,25.99,28.19,29.71,31.29,37.21
   Production managers and directors in mining and energy,1123,11,24.07,4.0,32.37,4.5,x,19.2,19.49,20.33,22.73,26.67,x,x,x,x
  Functional Managers and Directors,113,1036,32.57,5.4,38.47,4.9,16.9,21.2,23.09,24.9,28.62,37.54,43.55,47.35,51.12,64.31
   Financial managers and directors,1131,432,34.14,4.9,41.83,7.0,16.58,20.75,23.03,25,29.17,40.11,47.56,51.42,56.69,73.75
"   Marketing, sales and advertising directors",1132,232,38.52,0.5,41.4,-1.2,19,24.67,27.22,29.18,33.7,43.85,48.99,51.75,54.77,63.91
   Public relations and communications directors,1133,14,41.35,16.6,44.11,8.1,x,28.96,30.18,32.41,37.42,43.3,45.45,x,x,x
   Purchasing managers and directors,1134,59,25.57,2.9,26.94,1.4,15.13,17.81,19.34,20.84,23.49,28.43,32.08,33.26,34.11,x
   Charitable organisation managers and directors,1135,x,20.13,5.1,22.67,4.2,x,x,x,x,17.66,23.52,x,x,x,x
   Human resource managers and directors,1136,163,26.31,6.8,28.86,5.2,16.32,19.15,20.76,22.25,24.21,28.75,31.5,33.55,35.01,41.96
   Information technology directors,1137,46,41.04,10.1,43.44,10.0,22.99,28.75,30.74,32.05,36.38,45.4,48.94,51.59,54.38,x
   Functional managers and directors n.e.c.,1139,85,32.56,5.6,37.78,4.8,15.85,19.9,22.08,24.82,28.24,37.89,41.82,43.86,47.22,x
"  Directors in Logistics, Warehousing and Transport",114,12,36.28,15.4,40.7,12.5,x,x,22.68,25.95,32.83,42.45,x,x,x,x
"   Directors in logistics, warehousing and transport",1140,12,36.28,15.4,40.7,12.5,x,x,22.68,25.95,32.83,42.45,x,x,x,x
  Managers and Directors in Retail and Wholesale,115,386,15.59,6.9,19.1,5.4,11.38,12.29,12.84,13.42,14.31,17.2,19.67,21.16,23.12,30.77
   Managers and directors in retail and wholesale,1150,386,15.59,6.9,19.1,5.4,11.38,12.29,12.84,13.42,14.31,17.2,19.67,21.16,23.12,30.77
  Senior Officers in Protective Services,116,13,28.66,4.9,30.07,2.5,x,24.24,26.23,27.23,27.59,29.7,x,x,x,x
   Officers in armed forces,1161,:,,,,,,,,,,,,,,
   Senior police officers,1162,8,29.34,4.9,30.6,-0.8,x,24.88,27.11,27.55,28.3,29.73,x,x,x,x
"   Senior officers in fire, ambulance, prison and related services",1163,x,27.32,,29.22,9.7,x,x,x,25.65,27.26,28.8,x,x,x,x
  Health and Social Services Managers and Directors,117,16,24.08,0.0,25.26,-1.1,12.87,16.13,17.66,19.53,22.29,25.11,27.38,27.89,x,x
   Health services and public health managers and directors,1171,x,x,,32.99,26.1,x,x,x,x,x,x,x,x,x,x
   Social services managers and directors,1172,13,22.32,2.1,23.1,2.0,x,14.48,16.13,17.46,20.44,24.07,25.01,x,x,x
 Other managers and proprietors,12,609,16.64,4.2,19.4,3.9,11.55,12.76,13.4,14,15.3,18.54,20.6,21.9,23.43,28.17
  Managers and Proprietors in Agriculture Related Services,121,28,15.03,0.1,16.81,4.6,11.14,11.88,12.28,12.7,13.87,16.16,18.14,19.9,21.14,x
   Managers and proprietors in agriculture and horticulture,1211,21,15.11,3.3,17.16,6.2,11.32,11.87,12.2,12.77,14.06,16.39,18.78,20.02,x,x
"   Managers and proprietors in forestry, fishing and related services",1212,8,14.45,-3.0,15.9,1.0,x,x,12.27,12.4,13.08,15.44,x,x,x,x
  Managers and Proprietors in Hospitality and Leisure Services,122,112,14.21,5.4,16.19,2.4,10.99,11.86,12.25,12.6,13.42,15.19,16.17,16.77,17.95,x
   Hotel and accommodation managers and proprietors,1221,16,15.16,9.5,20.25,-2.2,x,12.4,12.76,13.46,14.05,16.1,16.83,x,x,x
   Restaurant and catering establishment managers and proprietors,1222,44,13.33,6.6,14.21,3.2,10.52,11.22,11.8,12.01,12.82,14.07,14.9,15.22,15.84,x
   Publicans and managers of licensed premises,1223,16,14.68,5.9,15.06,6.7,x,12.13,12.5,12.61,13.16,15.46,16.13,16.39,x,x
   Leisure and sports managers,1224,34,14.87,-1.3,17.55,3.0,11.1,12.2,12.55,13.15,13.89,16.48,18.22,19.88,21.07,x
   Travel agency managers and proprietors,1225,x,x,,17.88,4.0,x,x,x,x,x,x,x,x,x,x
  Managers and Proprietors in Health and Care Services,123,75,19.82,4.3,21.79,5.4,13.5,15.2,15.85,16.72,18.42,21.67,23.31,24.56,26.15,x
   Health care practice managers,1231,20,21.34,3.1,23.93,2.9,14.36,16.25,16.87,17.5,19.32,23.03,25.94,26.7,x,x
"   Residential, day and domiciliary care managers and proprietors",1232,55,19.55,5.3,21.16,6.5,13.35,14.64,15.53,16.21,18.24,21.21,23.04,23.84,25.5,x
   Early education and childcare services proprietors,1233,x,x,,15.5,-14.7,x,x,x,x,x,x,x,x,x,x
"  Managers in Logistics, Warehousing and Transport",124,199,16.62,2.8,18.67,4.5,11.69,13,13.68,14.22,15.38,18.1,20.07,21.09,22.37,27
   Managers in transport and distribution,1241,68,19.28,4.7,21.03,6.9,12.7,14.43,15.25,15.67,17.31,20.81,23.2,24.3,25.7,x
   Managers in storage and warehousing,1242,108,15.05,1.8,16.34,1.8,11.3,12.25,12.73,13.19,14.19,16.3,17.49,18.07,18.88,x
   Managers in logistics,1243,24,20.64,-0.9,22.59,2.3,x,15.51,16.09,16.38,19.03,22.05,24.26,25.05,x,x
  Managers and Proprietors in Other Services,125,195,18.24,5.6,21.57,3.4,11.64,12.82,13.49,14.49,16.2,20.37,22.86,24.12,26.03,33.15
"   Property, housing and estate managers",1251,115,18.97,2.0,21.38,2.8,12.04,13.41,14.4,15.41,17,20.74,23.5,24.53,26.07,x
   Garage managers and proprietors,1252,x,16.78,7.4,24.29,4.0,x,x,x,14.47,15.24,x,x,x,x,x
   Hairdressing and beauty salon managers and proprietors,1253,x,13.81,-2.7,16.18,1.1,x,x,x,11.64,12.62,14.41,x,x,x,x
   Waste disposal and environmental services managers,1254,9,22.39,17.7,22.63,-7.9,x,14.46,15.29,16.76,21.74,23.53,25.72,x,x,x
   Managers and directors in the creative industries,1255,12,18.91,17.3,22.67,5.5,x,13.15,14.51,15.28,16.9,22.11,x,x,x,x
   Betting shop and gambling establishment managers,1256,x,x,,12.45,11.5,x,x,x,x,x,x,x,x,x,x
   Hire services managers and proprietors,1257,7,13.55,,15.98,-22.0,x,x,11.45,11.65,11.91,14.93,x,x,x,x
   Directors in consultancy services,1258,x,x,,x,,x,x,x,x,x,x,x,x,x,x
   Managers and proprietors in other services n.e.c.,1259,32,16.27,10.0,21.68,13.9,11.65,12.76,12.76,13.01,15.09,18.22,20.58,21.8,x,x
Professional occupations,2,7792,23.35,5.3,25.23,4.5,14.5,17.23,18.25,19.35,21.3,25.47,28,29.48,31.43,37.19
" Science, research, engineering and technology professionals",21,1936,23.54,5.2,25.36,5.5,14.37,17.01,18.21,19.26,21.49,25.89,28.82,30.67,32.56,37.83
  Natural and Social Science Professionals,211,142,20.76,1.3,22.01,2.5,13.46,15.57,16.49,17.1,18.77,22.26,24.53,25.37,26.78,31.95
   Chemical scientists,2111,21,16.76,-9.5,17.67,-10.8,x,12.48,13.29,13.75,15.3,17.43,18.92,20.18,x,x
   Biological scientists,2112,13,18.42,0.5,21.53,6.3,x,14.57,15,16.18,17.02,x,x,x,x,x
   Biochemists and biomedical scientists,2113,38,22.21,3.1,24.31,9.0,15.36,17.21,18.19,18.61,21.04,24.37,26.21,27.92,28.93,x
   Physical scientists,2114,12,25.1,13.5,25.29,10.3,x,18.41,19.72,21.54,22.59,28.37,29.74,x,x,x
   Social and humanities scientists,2115,16,19.65,3.3,19.09,-0.6,x,13.75,14.39,15.52,16.48,20.75,21.77,x,x,x
   Natural and social science professionals n.e.c.,2119,42,21.2,3.7,22.41,1.7,14.46,16.46,17.16,17.64,19.59,22.92,25.22,26.07,26.45,x
  Engineering Professionals,212,510,23.17,5.4,24.06,6.0,14.48,16.95,18.12,19.39,21.42,25.14,27.27,28.79,30.01,34.02
   Civil engineers,2121,85,22.4,3.7,23.44,0.3,14.33,16.17,17.61,18.21,20.27,24.8,27.4,28.77,30.5,x
   Mechanical engineers,2122,44,22.59,10.6,22.57,5.4,14.2,16.83,17.9,18.63,20.6,23.99,25.59,26.87,27.65,x
   Electrical engineers,2123,49,27.19,6.4,27.83,10.3,17.96,21.4,22.62,23.34,25.22,28.84,30.88,32.52,33.99,x
   Electronics engineers,2124,15,24.62,1.6,25.45,3.0,x,20.77,21.98,22.88,23.75,26.01,27.91,29.64,x,x
   Production and process engineers,2125,59,21.91,6.5,22.58,6.1,13.3,16.24,16.99,18.33,20.13,23.71,25.58,26.21,27.45,x
   Aerospace engineers,2126,12,24.98,9.5,25.39,8.6,x,19.31,20.58,21.49,23.48,27.7,28.5,x,x,x
   Engineering project managers and project engineers,2127,91,24.41,4.9,25.42,7.3,15.84,18.12,19.6,20.66,22.71,26.45,28.82,30.97,32.87,x
   Engineering professionals n.e.c.,2129,156,22.16,7.6,23.14,6.8,13.27,15.88,16.9,18.11,20.38,23.84,25.93,27.14,29.07,31.64
  Information Technology Professionals,213,1051,25.29,6.0,27.19,5.8,15.33,18.29,19.42,20.71,23.01,28.1,31.49,33.1,34.97,41
   IT project managers,2131,33,28.43,2.3,28.69,2.0,16.53,21,21.83,23.05,25.83,31.71,33.27,35.04,37.9,x
   IT managers,2132,241,26.43,5.6,28.23,4.0,16.41,19.74,20.9,22.02,24.04,29.27,32.6,34.03,36.23,41.56
"   IT business analysts, architects and systems designers",2133,170,26.86,5.1,28.44,4.8,16.59,19.24,20.24,21.57,24.23,29.45,32.2,33.63,35.08,40.39
   Programmers and software development professionals ,2134,418,25.69,9.2,27.4,9.4,15.04,18.04,19.3,20.81,23.22,28.27,31.76,33.47,35.69,42.23
   Cyber security professionals,2135,27,22.36,-1.1,24.44,2.0,14.64,16.41,17.95,19.17,20.59,23.8,27.97,29.68,x,x
   IT quality and testing professionals,2136,20,21.66,4.9,21.63,-1.4,x,16.61,17.23,17.76,19.51,22.92,23.71,25.19,x,x
   IT network professionals,2137,46,20.36,5.1,21.79,5.4,14.68,17.94,18.27,18.43,19.3,21.79,23.17,24.78,25.76,x
   Information technology professionals n.e.c.,2139,97,23.52,1.7,25.47,-1.4,13.33,15.71,17.01,17.88,20.94,25.9,29.39,31.95,33.31,x
  Web and Multimedia Design Professionals,214,75,15.36,4.7,16.95,10.0,11.28,12.42,13.04,13.39,14.2,16.41,18.15,18.74,19.58,x
   Web design professionals,2141,13,22.04,15.0,22.1,14.5,x,14.74,15.42,16.38,18.03,22.8,24.53,x,x,x
   Graphic and multimedia designers,2142,62,14.9,4.7,15.86,9.2,11.19,12.12,12.48,13.14,13.84,15.64,17.32,18.02,18.58,x
  Conservation and Environment Professionals,215,65,18.8,10.7,19.74,5.6,12.77,14.19,15.16,15.78,16.95,20.23,21.42,21.99,22.89,x
   Conservation professionals,2151,17,17.93,6.4,19.18,10.0,x,13.67,14.78,15.64,16.68,19.97,20.86,21.09,x,x
   Environment professionals,2152,48,19.12,12.0,19.93,4.7,13.05,14.34,15.12,15.77,17.06,20.24,21.73,22.4,23.43,x
