Description,Code,Jobs,Median,Change,Mean,Change,10,20,25,30,40,60,70,75,80,90
ALL EMPLOYEES,,"25,910",13.71,3.3,17.63,2.1,8.72,9.50,9.98,10.51,11.92,15.95,18.99,20.64,22.76,29.71
All Industries and Services,,"25,906",13.71,3.2,17.63,2.1,8.72,9.50,9.98,10.51,11.92,15.95,18.99,20.64,22.76,29.70
All Index of Production Industries,,"2,871",14.50,0.0,17.40,1.2,8.77,10.00,10.62,11.30,12.83,16.51,19.07,20.54,22.42,28.78
All Manufacturing,,"2,491",14.20,0.3,17.06,1.4,8.72,9.86,10.42,11.07,12.55,16.08,18.61,20.06,21.85,27.99
All Service Industries,,"21,896",13.60,4.4,17.74,2.6,8.72,9.45,9.90,10.39,11.75,15.93,19.10,20.77,22.87,29.90
"AGRICULTURE, FORESTRY AND FISHING ",A ,173,10.50,4.8,12.23,2.0,8.20,8.80,9.00,9.23,9.90,11.41,12.53,13.49,14.89,18.22
"Crop and animal production, hunting and related service activities ",1,155,10.22,2.4,11.81,2.5,7.88,8.72,8.90,9.10,9.73,11.00,12.08,12.75,13.89,17.10
Forestry and logging ,2,11,13.56,1.2,15.38,-2.4,x,10.49,11.17,11.50,13.14,15.32,x,x,x,x
Fishing and aquaculture ,3,7,13.57,10.7,17.17,3.6,x,10.41,10.69,11.02,11.84,15.29,x,x,x,x
MINING AND QUARRYING ,B ,36,19.50,6.6,23.58,6.2,10.31,12.90,13.37,14.14,16.69,21.87,24.54,x,x,x
Mining of coal and lignite ,5,x,x,,x,,x,x,x,x,x,x,x,x,x,x
Extraction of crude petroleum and natural gas ,6,x,42.66,,46.71,18.2,x,x,37.19,39.11,41.69,47.37,x,x,x,x
Mining of metal ores ,7,:,,,,,,,,,,,,,,
Other mining and quarrying ,8,22,15.52,5.8,17.19,2.8,9.72,10.82,11.38,12.76,13.38,16.92,19.67,20.50,x,x
Mining support service activities ,9,8,22.06,12.3,27.12,6.8,x,17.24,18.87,19.33,20.87,23.37,x,x,x,x
MANUFACTURING ,C ,"2,491",14.20,0.3,17.06,1.4,8.72,9.86,10.42,11.07,12.55,16.08,18.61,20.06,21.85,27.99
Manufacture of food products ,10,374,11.56,4.8,14.51,5.6,8.72,9.15,9.47,9.84,10.55,12.84,14.60,15.99,17.73,23.47
Manufacture of beverages ,11,50,16.61,2.2,19.38,4.8,9.77,11.11,11.66,12.94,14.58,18.65,20.99,21.70,22.62,x
Manufacture of tobacco products ,12,:,,,,,,,,,,,,,,
Manufacture of textiles ,13,47,10.43,-0.7,12.59,-7.3,7.11,7.99,8.66,8.72,9.61,11.35,12.70,13.58,14.45,x
Manufacture of wearing apparel ,14,17,8.81,0.0,11.38,-0.6,6.72,7.48,8.21,x,8.72,9.96,11.01,x,x,x
Manufacture of leather and related products ,15,8,10.19,0.3,11.80,0.8,x,8.49,8.72,8.74,9.62,10.64,x,x,x,x
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials ",16,50,11.08,-6.9,12.50,-8.7,7.52,8.80,9.17,9.50,10.14,12.12,13.46,14.37,14.89,x
Manufacture of paper and paper products ,17,57,15.11,3.7,16.90,-2.3,9.39,10.83,11.33,11.98,13.31,16.50,18.49,20.20,21.14,x
Printing and reproduction of recorded media ,18,82,12.36,-3.1,14.53,-4.7,8.06,9.00,9.54,10.00,11.36,13.63,14.86,15.96,17.93,x
Manufacture of coke and refined petroleum products ,19,15,25.06,0.4,25.03,-3.1,10.75,15.65,19.25,21.67,23.53,27.55,29.27,30.03,x,x
Manufacture of chemicals and chemical products ,20,103,17.08,1.0,19.31,-0.7,9.54,11.20,11.91,12.60,15.02,19.53,22.03,23.92,26.50,x
Manufacture of basic pharmaceutical products and pharmaceutical preparations ,21,53,16.95,-4.4,21.06,-8.0,10.72,12.21,13.24,13.74,15.54,18.78,22.00,23.83,27.95,x
Manufacture of rubber and plastic products ,22,167,12.25,-0.9,15.23,0.0,8.20,9.09,9.50,10.00,10.90,13.71,15.63,16.99,18.58,23.86
Manufacture of other non-metallic mineral products ,23,84,13.51,-1.4,15.59,-0.9,8.77,9.92,10.38,10.83,11.94,15.17,17.64,18.43,20.36,x
Manufacture of basic metals ,24,76,17.53,5.8,19.27,7.6,10.34,12.56,13.17,14.31,15.89,19.25,21.86,23.16,25.34,x
"Manufacture of fabricated metal products, except machinery and equipment ",25,300,12.92,-4.9,14.93,-5.7,8.70,9.57,10.09,10.56,11.77,14.29,15.90,17.14,18.58,23.16
