Description,Code,Jobs,Median,change,Mean,change,10,20,25,30,40,60,70,75,80,90
ALL EMPLOYEES,,"22,480","29,669",6.8,"35,404",5.8,"10,186","16,815","19,783","21,970","25,802","34,303","40,000","43,157","47,248","60,506"
All Industries and Services,,"22,472","29,669",6.8,"35,406",5.8,"10,193","16,821","19,787","21,973","25,803","34,303","40,000","43,154","47,247","60,503"
All Index of Production Industries,,"2,480","34,202",7.2,"39,493",6.9,"19,928","23,895","25,528","27,115","30,297","38,665","44,017","47,333","50,931","63,756"
All Manufacturing,,"2,190","33,469",7.1,"38,769",6.9,"19,681","23,599","25,200","26,724","29,838","38,061","43,123","46,490","50,029","61,990"
All Service Industries,,"19,004","28,785",6.9,"34,698",5.7,"9,492","15,549","18,518","21,000","24,906","33,471","39,136","42,447","46,359","59,723"
"AGRICULTURE, FORESTRY AND FISHING ",A ,127,"26,562",10.0,"28,207",11.2,x,"14,670","17,516","20,103","23,509","29,273","33,167","35,329","37,993",x
"Crop and animal production, hunting and related service activities ",1,112,"25,986",9.4,"27,185",9.8,x,"13,881","16,796","19,236","22,846","28,649","32,314","34,455","36,595",x
Forestry and logging ,2,9,"26,780",4.9,"28,856",11.0,x,"20,577","22,738","23,166","26,069","29,735",x,x,x,x
Fishing and aquaculture ,3,x,"40,414",,"48,143",24.1,x,x,x,x,x,x,x,x,x,x
MINING AND QUARRYING ,B,27,"44,750",6.7,"52,368",7.1,"23,343","28,308","30,473","35,234","40,581","50,375","57,404",x,x,x
Mining of coal and lignite ,5,x,x,,x,,x,x,x,x,x,x,x,x,x,x
Extraction of crude petroleum and natural gas ,6,x,x,,"92,263",12.9,x,x,x,x,x,x,x,x,x,x
Mining of metal ores ,7,:,,,,,,,,,,,,,,
Other mining and quarrying ,8,15,"38,589",4.5,"43,097",6.7,x,"27,102","28,855","30,397","35,384","42,894","47,647",x,x,x
Mining support service activities ,9,x,"47,457",,"50,920",-3.4,x,x,x,"37,887","43,795","57,259",x,x,x,x
MANUFACTURING ,C ,"2,190","33,469",7.1,"38,769",6.9,"19,681","23,599","25,200","26,724","29,838","38,061","43,123","46,490","50,029","61,990"
Manufacture of food products ,10,302,"27,886",8.2,"32,145",5.1,"16,330","20,775","22,128","23,357","25,458","30,721","34,709","37,889","41,388","51,224"
Manufacture of beverages ,11,42,"37,459",,"42,318",7.7,"22,276","26,396","28,307","29,766","33,000","39,811","46,267","47,404",x,x
Manufacture of tobacco products ,12,:,,,,,,,,,,,,,,
Manufacture of textiles ,13,40,"25,981",10.8,"30,845",7.1,"17,011","19,367","20,374","21,185","23,144","28,687","32,667","34,860",x,x
Manufacture of wearing apparel ,14,12,"19,513",5.4,"20,441",-6.3,x,"11,396","12,515","14,966","17,989","22,035","23,208",x,x,x
Manufacture of leather and related products ,15,x,"23,422",21.2,"25,828",9.6,x,x,x,x,"20,464","25,544",x,x,x,x
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials ",16,52,"28,908",5.9,"37,079",4.1,"12,493","20,542","23,008","24,660","26,355","32,981","37,276","39,165","41,688",x
Manufacture of paper and paper products ,17,56,"32,919",3.2,"37,668",2.3,"20,607","24,000","25,260","26,443","29,358","36,508","40,084","43,116","45,932",x
Printing and reproduction of recorded media ,18,57,"27,351",6.0,"31,888",5.5,"15,417","19,995","21,831","23,599","25,720","30,439","34,981","38,053","42,096",x
Manufacture of coke and refined petroleum products ,19,14,"59,880",9.3,"59,977",5.1,x,"29,535","34,467","37,402","48,345","64,778","74,274",x,x,x
Manufacture of chemicals and chemical products ,20,91,"36,069",2.0,"43,748",6.7,"21,632","25,281","27,138","28,537","31,411","41,523","47,075","50,135","54,120",x
Manufacture of basic pharmaceutical products and pharmaceutical preparations ,21,39,"35,233",14.4,"39,325",19.6,"21,674","25,075","26,564","27,885","30,551","38,471","42,338","44,449",x,x
Manufacture of rubber and plastic products ,22,147,"29,617",7.0,"34,380",7.1,"17,994","21,672","22,795","24,177","26,913","33,036","37,006","39,607","42,448",x
Manufacture of other non-metallic mineral products ,23,78,"34,478",8.4,"37,384",7.8,x,"24,660","26,501","28,093",x,"38,818",x,x,x,x
Manufacture of basic metals ,24,69,"40,648",4.5,"44,118",8.2,x,x,"30,480","32,090","36,154","45,988","51,188",x,x,x
"Manufacture of fabricated metal products, except machinery and equipment ",25,266,"32,609",8.3,"37,189",8.8,"19,930","23,753","25,402","26,884","29,575","36,148","40,633","42,899","46,605","54,660"
