Description,Code,Jobs,Median,change,Mean,change,10,20,25,30,40,60,70,75,80,90
ALL EMPLOYEES,,"16,813","34,963",5.8,"42,210",5.4,"21,000","24,496","26,085","27,673","31,069","39,516","44,738","48,000","52,007","66,669"
All Industries and Services,,"16,808","34,962",5.7,"42,211",5.4,"21,000","24,496","26,085","27,672","31,067","39,515","44,736","48,000","52,002","66,668"
All Index of Production Industries,,"2,290","35,515",7.4,"41,255",7.0,"22,138","25,424","26,972","28,472","31,763","40,057","45,202","48,554","52,129","65,196"
All Manufacturing,,"2,018","34,950",7.4,"40,538",6.9,"21,928","25,136","26,614","28,090","31,145","39,404","44,479","47,716","51,197","63,393"
All Service Industries,,"13,687","34,734",5.5,"42,300",5.1,"20,761","24,224","25,869","27,407","30,821","39,287","44,496","47,736","51,803","66,609"
"AGRICULTURE, FORESTRY AND FISHING ",A ,96,"29,355",7.4,"33,049",10.5,"19,594","22,727","23,846","25,057","27,086","32,524","36,011","38,105","39,647",x
"Crop and animal production, hunting and related service activities ",1,83,"28,977",7.8,"31,920",9.3,"18,922","22,049","23,264","24,425","26,822","31,514","35,043","36,837","38,955",x
Forestry and logging ,2,x,"29,721",5.3,"32,772",8.4,x,x,"26,036","26,534","27,047","32,613",x,x,x,x
Fishing and aquaculture ,3,x,"41,632",,"52,571",23.0,x,x,x,x,"39,849",x,x,x,x,x
MINING AND QUARRYING ,B,24,"46,978",9.2,"55,356",10.9,"26,990","30,905","35,269","37,574","42,450","51,337","58,500",x,x,x
Mining of coal and lignite ,5,..,,,,,,,,,,,,,,
Extraction of crude petroleum and natural gas ,6,x,x,,"99,142",13.2,x,x,x,x,x,x,x,x,x,x
Mining of metal ores ,7,:,,,,,,,,,,,,,,
Other mining and quarrying ,8,14,"39,972",5.4,"45,034",11.5,x,"28,353","30,078","32,946","37,340","44,141","48,015",x,x,x
Mining support service activities ,9,x,"48,189",,"53,812",-2.2,x,x,"38,049","41,064","44,739",x,x,x,x,x
MANUFACTURING ,C ,"2,018","34,950",7.4,"40,538",6.9,"21,928","25,136","26,614","28,090","31,145","39,404","44,479","47,716","51,197","63,393"
Manufacture of food products ,10,268,"29,151",8.3,"34,331",5.6,"20,202","22,857","23,861","24,788","26,792","32,168","36,635","39,918","42,764","52,878"
Manufacture of beverages ,11,40,"37,907",,"43,557",7.6,"24,018","27,432","29,161","30,243","34,344","40,921","46,393","47,759",x,x
Manufacture of tobacco products ,12,:,,,,,,,,,,,,,,
Manufacture of textiles ,13,35,"27,503",12.4,"32,020",2.4,"19,126","20,815","21,439","22,101","25,095","29,848","34,376","35,528",x,x
Manufacture of wearing apparel ,14,8,"23,003",8.5,"25,445",-6.1,x,"19,029","19,637","20,514","22,118","24,352",x,x,x,x
Manufacture of leather and related products ,15,x,"24,346",11.8,"28,560",16.0,x,x,x,x,"23,084",x,x,x,x,x
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials ",16,46,"31,748",10.0,"40,805",5.7,"20,644","24,602","24,966","26,071","28,078","34,663","38,240","40,135","42,964",x
Manufacture of paper and paper products ,17,53,"33,639",4.5,"38,829",2.9,"22,395","24,897","26,075","27,488","30,289","37,421","41,038","44,071","46,869",x
Printing and reproduction of recorded media ,18,48,"29,794",6.7,"34,695",7.3,"20,532","23,623","24,175","25,503","26,978","33,029","37,489","41,279","44,579",x
Manufacture of coke and refined petroleum products ,19,13,"61,114",7.5,"60,835",3.9,x,"30,668","34,745",x,"48,581","65,260",x,x,x,x
Manufacture of chemicals and chemical products ,20,87,"36,815",-0.4,"44,685",6.8,"22,128","26,309","27,718","29,242","32,325","42,243","47,672","50,265","54,313",x
Manufacture of basic pharmaceutical products and pharmaceutical preparations ,21,37,"35,635",15.2,"40,309",19.8,"22,529","25,490","26,724","28,388","31,575","39,171","42,743","47,111",x,x
Manufacture of rubber and plastic products ,22,134,"30,836",7.8,"35,829",8.0,"20,386","23,002","24,197","25,390","27,988","34,077","38,116","40,523","43,396",x
Manufacture of other non-metallic mineral products ,23,72,"35,710",8.5,"38,875",6.5,x,"26,363",x,x,"31,763","40,363",x,x,x,x
Manufacture of basic metals ,24,66,"41,672",4.4,"45,522",9.0,"24,674","29,916","31,368","32,991","37,271","46,778","51,962","58,508","59,786",x
"Manufacture of fabricated metal products, except machinery and equipment ",25,246,"33,505",6.4,"38,771",8.3,"22,181","25,227","26,749","28,073","30,825","36,958","41,787","44,223","47,626","55,446"
"Manufacture of computer, electronic and optical products ",26,110,"39,987",9.8,"45,837",9.2,x,"27,087","28,970","30,642","34,033","45,268","52,953",x,x,x
Manufacture of electrical equipment ,27,72,"31,784",5.3,"38,283",5.9,"21,562","24,345","25,452","27,271","29,654","36,659","42,330","47,990","51,284",x
Manufacture of machinery and equipment n.e.c. ,28,196,"38,927",5.2,"45,996",4.4,"25,341",x,"30,382","32,309","35,220","42,987","48,390","51,663","55,506",x
"Manufacture of motor vehicles, trailers and semi-trailers ",29,138,"39,404",5.1,"43,022",10.1,"23,906","27,647","29,572","31,869","35,601","42,696","47,276","50,589","54,995",x
Manufacture of other transport equipment ,30,153,"46,187",10.2,"48,839",4.5,"28,485","33,458","35,923","38,778","42,561","50,193","54,573","56,744","59,798",x
Manufacture of furniture ,31,58,"28,176",4.8,"32,727",5.7,x,"22,995","23,468","24,442","26,150","30,551","35,174","36,931",x,x
Other manufacturing ,32,66,"31,789",6.0,"37,737",3.1,x,x,x,"26,190","28,547","35,511",x,x,x,x
Repair and installation of machinery and equipment ,33,68,"38,536",12.3,"42,563",6.2,"21,136","26,152","28,442","29,439","33,471","44,135","47,541","50,500","55,103",x
"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY ",D ,89,"50,528",1.7,"56,226",1.3,"25,835","32,151","34,500","37,582","44,525","57,653","66,362","70,687","74,350",x
"Electricity, gas, steam and air conditioning supply ",35,89,"50,528",1.7,"56,226",1.3,"25,835","32,151","34,500","37,582","44,525","57,653","66,362","70,687","74,350",x
