Description,Code,Jobs,Median,change,Mean,change,10,20,25,30,40,60,70,75,80,90
ALL EMPLOYEES,,"20,066",17.48,6.6,20.83,6.7,11.31,12.55,13.25,13.97,15.55,19.92,22.9,24.69,26.96,34.21
All Industries and Services,,"20,058",17.49,6.6,20.83,6.7,11.31,12.55,13.25,13.97,15.55,19.92,22.9,24.69,26.96,34.21
All Index of Production Industries,,"2,569",17.26,8.6,20.05,8.1,11.5,12.78,13.42,14.06,15.53,19.4,22.39,23.99,25.87,32.42
All Manufacturing,,"2,254",17.02,8.6,19.76,8.2,11.44,12.68,13.27,13.97,15.34,19.13,22,23.69,25.55,31.56
All Service Industries,,"16,517",17.52,6.1,20.99,6.4,11.28,12.5,13.21,13.94,15.55,20.04,23,24.84,27.21,34.51
"AGRICULTURE, FORESTRY AND FISHING ",A ,118,13.05,8,15.12,12,10.45,11,11.34,11.53,12.16,14.05,15.6,16.43,17.8,22.25
"Crop and animal production, hunting and related service activities ",1,103,12.78,6.7,14.67,11.7,10.42,10.93,11.16,11.44,11.98,13.68,14.97,16.07,17.29,x
Forestry and logging ,2,10,14.48,1.8,15.68,3.2,x,12.03,12.65,12.98,13.32,14.91,16.53,x,x,x
Fishing and aquaculture ,3,x,18.57,20.7,24.05,16.9,x,x,x,15.66,17.85,20.51,x,x,x,x
MINING AND QUARRYING ,B,27,21.97,13.9,25.81,4.1,13.02,14.89,15.47,16.52,19.64,23.79,27.49,30.65,x,x
Mining of coal and lignite ,5,..,,,,,,,,,,,,,,
Extraction of crude petroleum and natural gas ,6,x,x,,50.83,10.6,x,x,x,x,x,x,x,x,x,x
Mining of metal ores ,7,:,,,,,,,,,,,,,,
Other mining and quarrying ,8,16,17.51,4,19.72,-4.7,11.97,13.51,13.81,14.02,15.59,20.1,22.09,22.56,x,x
Mining support service activities ,9,8,24.23,7.6,27.99,2.1,x,17.18,19.07,21.26,21.91,28.12,x,x,x,x
MANUFACTURING ,C ,"2,254",17.02,8.6,19.76,8.2,11.44,12.68,13.27,13.97,15.34,19.13,22,23.69,25.55,31.56
Manufacture of food products ,10,310,14.11,8.9,16.84,6.9,10.88,11.55,11.92,12.28,13.11,15.45,17.4,18.82,20.61,26.35
Manufacture of beverages ,11,45,18.5,10.8,21.76,14,12.42,13.66,14.94,15.52,17.32,20.23,23.43,24.75,26.84,x
Manufacture of tobacco products ,12,:,,,,,,,,,,,,,,
Manufacture of textiles ,13,38,13.71,11.6,16.05,8.1,10.67,11.2,11.5,11.75,12.59,15.27,16.63,18.31,19.64,x
Manufacture of wearing apparel ,14,9,12.25,7.3,13.47,-5.4,10.42,10.61,10.88,10.93,11.41,12.51,13.59,13.96,x,x
Manufacture of leather and related products ,15,x,12.94,13.9,15.56,16.9,x,x,11.44,11.75,12.45,13.98,x,x,x,x
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials ",16,49,14.56,7.2,17.63,7.9,11.22,11.85,12.05,12.51,13.27,15.68,17.68,18.6,20.3,x
Manufacture of paper and paper products ,17,56,16.62,8.3,19.42,9.3,11.47,12.8,13.38,14.25,15.33,19,21.2,22.95,23.92,x
Printing and reproduction of recorded media ,18,52,14.94,8,17.7,7.5,10.95,11.85,12.28,12.77,13.84,16.55,18.57,20.25,22.17,x
Manufacture of coke and refined petroleum products ,19,14,29.24,7.6,28.33,6,13.55,15.91,17.05,19.36,23.71,31,35.01,36.12,x,x
Manufacture of chemicals and chemical products ,20,98,18.33,1.9,21.29,5.1,11.74,13.15,13.82,14.74,15.97,20.56,23.48,24.68,27.8,x
Manufacture of basic pharmaceutical products and pharmaceutical preparations ,21,43,18.54,14.5,20.25,16,11.92,13.36,14.05,14.7,16.33,19.95,21.87,22.9,24.56,x
Manufacture of rubber and plastic products ,22,148,14.94,9.3,17.73,9.2,10.86,11.9,12.45,12.81,13.72,16.11,18.7,19.69,21.33,x
Manufacture of other non-metallic mineral products ,23,83,16.29,6.3,18.26,5.4,11.6,12.74,13.19,13.87,15,17.96,20.25,21.26,22.78,x
Manufacture of basic metals ,24,75,19.13,6.4,21.13,7.1,12.34,14.17,15.2,16.12,17.57,20.92,23.99,26.65,28.01,x
"Manufacture of fabricated metal products, except machinery and equipment ",25,270,16.26,6.4,18.47,6.5,11.42,12.72,13.34,13.93,15,17.9,20,21.21,23.04,27.23
"Manufacture of computer, electronic and optical products ",26,123,19.07,3.2,22.57,7,11.94,13.49,14.44,15.28,16.88,22.85,25.8,27.99,30.3,x
Manufacture of electrical equipment ,27,79,17,14.2,19.71,12.6,11.5,12.59,13.15,13.75,15.08,19.04,22.99,24.88,26.6,x
Manufacture of machinery and equipment n.e.c. ,28,217,18.66,6.8,21.63,5.8,12.58,14.03,14.74,15.33,17,20.59,23.52,25.23,26.83,34.09
"Manufacture of motor vehicles, trailers and semi-trailers ",29,149,20.53,10.4,22.03,12.9,12.5,14.27,15.11,16.05,17.63,22.97,24.95,26.49,27.67,34.39
Manufacture of other transport equipment ,30,174,23.73,9.9,25.01,6.5,14.9,17.56,18.83,20.16,22.44,25.75,28.38,29.8,31.08,35.49
Manufacture of furniture ,31,65,13.92,7.9,16.06,6.4,10.72,11.54,11.83,12.03,13,14.94,16.26,16.99,18.2,x
Other manufacturing ,32,72,16.03,9.1,18.93,5.8,11.28,12.32,12.95,13.4,14.75,17.77,20.43,21.92,24.63,x
Repair and installation of machinery and equipment ,33,80,18.39,9.6,20.55,9.6,11.98,13.45,14.24,15.1,16.82,20.66,23.05,24.07,26.62,x
"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY ",D ,104,24.43,1.4,27.05,2.5,12.94,16.25,17.29,18.51,21.17,27.12,30.75,34.48,37.21,43.74
"Electricity, gas, steam and air conditioning supply ",35,104,24.43,1.4,27.05,2.5,12.94,16.25,17.29,18.51,21.17,27.12,30.75,34.48,37.21,43.74
"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES ",E ,184,17.28,8.1,18.8,5.1,11.7,12.97,13.61,14.12,15.55,18.9,20.59,21.99,23.44,29.06
"Water collection, treatment and supply ",36,58,19.22,3.1,20.85,4.7,12.93,15.11,16.04,16.58,17.86,21.19,22.7,23.68,25.18,x
Sewerage ,37,22,19.6,18.4,22.08,15.7,12.96,14.95,16.94,17.65,18.88,21.29,25.81,27.8,x,x
"Waste collection, treatment and disposal activities; materials recovery ",38,100,15.11,7.1,17.21,4.6,11.33,12.29,12.71,13.18,13.97,16.49,18.44,19.54,20.61,26.41
Remediation activities and other waste management services ,39,x,14.46,,15.58,-12.3,x,x,x,x,13.6,15.52,x,x,x,x
CONSTRUCTION ,F ,854,17.89,5.8,20.98,6.2,11.62,13.23,14,14.86,16.25,20.03,22.84,24.99,27.45,34.27
Construction of buildings ,41,289,20.27,5.7,24.13,6.5,12,13.78,14.71,15.75,17.72,23.6,27.56,29.82,32.53,41.15
Civil engineering ,42,143,18.34,-3,21.02,-0.8,12.01,13.78,14.5,15.16,16.39,20.7,23.46,26.35,28.27,34.5
Specialised construction activities ,43,422,16.93,7.8,18.87,8.4,11.45,12.86,13.42,14.25,15.59,18.31,20.38,21.61,23.29,28.74
WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES ,G,"2,369",14.54,9.6,17.75,8.6,10.8,11.5,11.95,12.33,13.33,16.09,18.23,19.86,21.9,29.56
