SIC07,Description,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
01,Agriculture and hunting,8741,8163,8411,7985,9964,10095,8957,6866,7607,7912,9798,9433,8438,10104,9423,10042,12409,10732,10391,10932,10998,11686,12263,14642,17546
02,Forestry and logging,261,254,247,274,237,233,263,248,262,331,435,510,397,537,643,565,596,726,545,721,696,973,977,987,1020
03,Fishing and aquaculture,345,391,366,448,429,374,415,507,532,445,515,527,602,707,703,675,871,638,594,718,598,850,650,577,587
05,"Mining and quarrying, excluding support activities",3007,3346,5004,4877,4280,4360,4635,5469,5826,5630,6690,4523,5823,6430,5817,5435,4388,2675,2741,3826,5331,4887,3335,3300,4308
06,"Mining and quarrying, excluding support activities",3007,3346,5004,4877,4280,4360,4635,5469,5826,5630,6690,4523,5823,6430,5817,5435,4388,2675,2741,3826,5331,4887,3335,3300,4308
07,"Mining and quarrying, excluding support activities",3007,3346,5004,4877,4280,4360,4635,5469,5826,5630,6690,4523,5823,6430,5817,5435,4388,2675,2741,3826,5331,4887,3335,3300,4308
08,"Mining and quarrying, excluding support activities",3007,3346,5004,4877,4280,4360,4635,5469,5826,5630,6690,4523,5823,6430,5817,5435,4388,2675,2741,3826,5331,4887,3335,3300,4308
09,Mining support service activities,1334,1182,1177,1139,1106,1027,1238,1281,1774,1905,2650,2289,2440,1983,2396,2342,2072,2292,1240,1176,1290,1491,1191,1386,1820
10,Manufacture of food products,17344,17357,17942,18262,18153,18343,18668,18571,18663,19610,19217,19344,19751,19237,19783,21375,20887,21828,21354,22078,23321,23845,22918,23992,26729
11,Manufacture of beverages and tobacco products,2281,2527,2601,2347,2533,2598,2726,2612,2934,3024,3182,3337,3212,3225,3317,3166,3458,3366,3108,3579,3774,3846,3653,4247,4595
12,Manufacture of beverages and tobacco products,2281,2527,2601,2347,2533,2598,2726,2612,2934,3024,3182,3337,3212,3225,3317,3166,3458,3366,3108,3579,3774,3846,3653,4247,4595
