SOC 2000,SOC 2010
2441,2429
2441,2429
2441,2429
4112,4112
4112,4112
2441,2429
4112,4112
4112,4112
3561,3561
4112,4112
4112,4112
4112,4112
4112,4112
4112,4112
4112,4112
4112,4112
4112,4112
4112,4112
3311,3311
8217,8232
2421,2421
1131,1131
2422,2421
1111,1116
4112,4112
4113,4113
3561,3561
8124,8124
2421,2421
2444,2444
5319,5319
4135,4135
3415,3415
2421,2421
4122,4122
4122,4122
2421,2421
2421,2421
2421,2421
2421,2421
2421,2421
2421,2421
2421,2421
2422,2421
4122,4122
2422,2421
2422,2421
4122,4122
2421,2421
2421,2421
4122,4122
2421,2421
2421,2421
2421,2421
2421,2421
4122,4122
2421,2421
2422,2421
2422,2421
4122,4122
2421,2421
2423,2135
3535,3535
3535,3535
2421,2421
6211,6211
2422,2421
4122,4122
2422,2421
2422,2421
2421,2421
2421,2421
4122,4122
4122,4122
2419,2419
2421,2421
1141,2462
9233,9233
9131,9139
8114,8114
2129,2129
5319,5319
3413,3413
3413,3413
3413,3413
2423,2425
2211,2229
3229,3219
3531,3531
2419,2419
3520,2462
3520,3520
3531,3531
3531,3531
5223,5223
3531,3531
5224,5224
8133,8133
8121,8121
8129,8129
3531,3531
8121,8121
5223,5223
5249,5249
5223,5223
5231,5231
8129,8129
5224,5224
5231,5231
5223,5223
8133,8133
5224,5224
5223,5223
1171,1171
1171,1171
4122,4129
4122,4122
4150,2429
4122,4129
4150,4159
4112,4112
4150,4159
4114,4114
4150,4159
4150,3239
4132,4132
4150,4159
4211,4211
2317,2317
4150,4159
3539,3539
4214,4214
4136,3131
4131,4131
4131,4131
3541,3541
3543,4151
4121,4121
4122,4129
4150,4138
4131,4131
4131,4131
4114,4114
3131,4217
3131,3131
4150,4159
3132,3132
3131,3131
4134,4134
3542,3542
2317,2317
4150,4138
4113,4113
4136,4217
4131,4131
4131,4131
4131,4131
4114,4114
4122,4129
4122,4129
4134,4134
4134,4134
4134,4134
3537,3537
6291,6148
3131,3131
3132,3132
4122,4122
3561,3561
2421,2421
3537,3537
4132,4132
3131,3131
4133,4133
3532,3532
4136,3131
4122,4122
4212,4212
4131,4131
4132,4132
4121,4121
4133,4134
4113,4113
3543,4151
4211,4211
4132,4129
3131,3131
4150,4151
4150,4213
4150,4159
4131,4151
4150,4159
4133,4133
4122,4122
4122,4122
4132,4132
3562,4138
3539,3539
4131,4131
4131,4131
4133,4133
3539,3539
4122,4131
4122,4131
4150,4159
4150,4159
3562,4138
2441,2429
3562,4138
4133,4151
3542,4151
4213,4213
7212,7219
4150,4159
7212,7219
4122,4129
4134,4134
4150,4159
4134,4134
4132,4132
4133,4133
4133,4133
3542,4151
4211,4211
4132,4132
3532,3532
3131,3131
3131,3131
3131,3131
3131,3131
4131,4131
3563,4138
4134,4134
6212,6212
3539,3539
3539,3539
3537,3537
2317,2317
4122,4122
4131,4131
4133,4133
4150,4159
3131,3131
4122,4129
