SIC07_2d,Sector,SE_frac
01,A,0.37037037
02,A,0.37037037
03,A,0.37037037
05,B,0.090047393
06,B,0.090047393
07,B,0.090047393
08,B,0.090047393
09,B,0.090047393
10,C,0.063662304
11,C,0.063662304
12,C,0.063662304
13,C,0.063662304
14,C,0.063662304
15,C,0.063662304
16,C,0.063662304
17,C,0.063662304
18,C,0.063662304
19,C,0.063662304
20,C,0.063662304
21,C,0.063662304
22,C,0.063662304
23,C,0.063662304
24,C,0.063662304
25,C,0.063662304
26,C,0.063662304
27,C,0.063662304
28,C,0.063662304
29,C,0.063662304
30,C,0.063662304
31,C,0.063662304
32,C,0.063662304
33,C,0.063662304
35,D,0.07253886
36,E,0.05349345
37,E,0.05349345
38,E,0.05349345
39,E,0.05349345
41,F,0.322522523
42,F,0.322522523
43,F,0.322522523
45,G,0.06538301
46,G,0.06538301
47,G,0.06538301
49,H,0.140216349
50,H,0.140216349
51,H,0.140216349
52,H,0.140216349
53,H,0.140216349
55,I,0.058934169
56,I,0.058934169
58,J,0.11034821
59,J,0.11034821
60,J,0.11034821
61,J,0.11034821
62,J,0.11034821
63,J,0.11034821
64,K,0.064641241
65,K,0.064641241
66,K,0.064641241
68,L,0.129249012
69,M,0.154057448
70,M,0.154057448
71,M,0.154057448
72,M,0.154057448
73,M,0.154057448
74,M,0.154057448
75,M,0.154057448
77,N,0.103217158
78,N,0.103217158
79,N,0.103217158
80,N,0.103217158
81,N,0.103217158
82,N,0.103217158
84,O,0.024957371
85,P,0.095
86,Q,0.070069251
87,Q,0.070069251
88,Q,0.070069251
90,R,0.269341726
91,R,0.269341726
92,R,0.269341726
93,R,0.269341726
94,S,0.352941176
95,S,0.352941176
96,S,0.352941176
97,T,0.473684211
98,T,0.473684211
99,U,
XX,XX,0
