SIC07_2d,Sector,SE_frac
01,A,0.498507463
02,A,0.498507463
03,A,0.498507463
05,B,0.090196078
06,B,0.090196078
07,B,0.090196078
08,B,0.090196078
09,B,0.090196078
10,C,0.064705307
11,C,0.064705307
12,C,0.064705307
13,C,0.064705307
14,C,0.064705307
15,C,0.064705307
16,C,0.064705307
17,C,0.064705307
18,C,0.064705307
19,C,0.064705307
20,C,0.064705307
21,C,0.064705307
22,C,0.064705307
23,C,0.064705307
24,C,0.064705307
25,C,0.064705307
26,C,0.064705307
27,C,0.064705307
28,C,0.064705307
29,C,0.064705307
30,C,0.064705307
31,C,0.064705307
32,C,0.064705307
33,C,0.064705307
35,D,0.052525253
36,E,0.042384106
37,E,0.042384106
38,E,0.042384106
39,E,0.042384106
41,F,0.390487658
42,F,0.390487658
43,F,0.390487658
45,G,0.078659831
46,G,0.078659831
47,G,0.078659831
49,H,0.162845188
50,H,0.162845188
51,H,0.162845188
52,H,0.162845188
53,H,0.162845188
55,I,0.069582756
56,I,0.069582756
58,J,0.141171684
59,J,0.141171684
60,J,0.141171684
61,J,0.141171684
62,J,0.141171684
63,J,0.141171684
64,K,0.054347826
65,K,0.054347826
66,K,0.054347826
68,L,0.126121372
69,M,0.184738134
70,M,0.184738134
71,M,0.184738134
72,M,0.184738134
73,M,0.184738134
74,M,0.184738134
75,M,0.184738134
77,N,0.108284083
78,N,0.108284083
79,N,0.108284083
80,N,0.108284083
81,N,0.108284083
82,N,0.108284083
84,O,0.017130621
85,P,0.084458541
86,Q,0.077797913
87,Q,0.077797913
88,Q,0.077797913
90,R,0.224472333
91,R,0.224472333
92,R,0.224472333
93,R,0.224472333
94,S,0.295508274
95,S,0.295508274
96,S,0.295508274
97,T,0.426174497
98,T,0.426174497
99,U,
XX,XX,0
